,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AAPL,0.44427363914732165,0.23933869889752865,0.310533049755435,0.08684754638551796,0.3770749462486549,0.014473669101269,0.14338657897569645,0.4079278764650475,-0.03227749933960646,0.6676665269589473
ABT,-0.08442092480486137,0.21360697455535874,0.18674844966098653,0.2130264077572236,0.19671350062201898,0.044798133947404686,-0.057833142800237936,0.41225845269428285,0.25021496236553337,0.2574314288753218
ACN,0.18475261911064295,0.15947913392919225,0.27520815068698623,0.21788384826600493,0.13431614910360445,0.2147283288966763,0.18154309580432765,0.3021268198962241,-0.04224602980438636,0.4292790243847022
ADBE,-0.11218112011288364,-0.04478686551692907,0.3051796577049912,0.4749061071671787,0.23568921146690128,0.28775570897129216,0.1424794150552969,0.5503926875237826,0.3039162032755609,0.41119037209895765
AIG,0.8018377635702035,-0.6147938633280076,0.4300847512861844,0.3677265113912706,0.12290933510935337,0.1334693842079642,0.12343167680160845,-0.05451435391171831,-0.3573716528955293,0.310154278409051
ALL,0.10749331474867328,-0.08409383296558522,0.4122767440921705,0.31281712944391693,0.29822677754798577,-0.08114590121285754,0.2292005433489944,0.3698023483013942,-0.16792344006917384,0.3518166954324987
AMGN,-0.02511273614269016,0.1777857788894735,0.332254601726867,0.299644519082904,0.3668159677938523,0.07455027573102968,-0.023868525259589386,0.18570999479495132,0.15223568906793,0.27868827680583813
AMT,0.19834195344685274,0.1967282149767557,0.30157740071845424,0.044359490944637196,0.2448754586062366,0.012035727125239641,0.13014298672625474,0.3280781603661126,0.15660098165404565,0.41545724938221495
AMZN,0.3477056929536571,0.011427800764176587,0.3873535147904871,0.4725356723933627,-0.1948123442662248,0.8362495319225474,0.20446591797746794,0.46088043173247434,0.29843169044820195,0.20789338652274958
AXP,0.1187680170987716,0.14486471473032675,0.2070805568212546,0.4578742013414746,0.06567967074204274,-0.2529109528873604,0.14074461964074544,0.3006607762719968,0.006189556406922073,0.2912919003017743
BA,0.21757544219597405,0.16932639186295373,0.056299022327230476,0.6114873619042838,-0.008610764899198528,0.15476254621441515,0.17182685869319514,0.6739280692582403,0.15118666118630752,0.07040996717158356
BAC,-0.09208800438402363,-0.7611750492001695,0.7771039403879624,0.28687137790450623,0.13497656188797613,-0.01658296020269792,0.3621086888331297,0.308844029655332,-0.14498474861499808,0.3921253626913422
BIIB,0.25420930934308017,0.5475697546282469,0.27400189307416245,0.6739002052220263,0.25424787410490574,-0.021739831355242815,0.022618058294364883,0.11453959874161924,-0.044071509728153206,0.0867415524028132
BK,0.1138787030510813,-0.34154111965873163,0.2830229217355063,0.29972367226999863,0.19297753131197776,0.06206367801201829,0.2185747636577212,0.1441508380860339,-0.08680141831317785,0.10733299988980992
BKNG,0.6778120091373792,0.18501233355119076,0.30932459469695167,0.6220176920148246,0.03380384007137102,0.14546633738667833,0.20624842265281088,0.18613049372621157,-0.0045898584873496845,0.20742488962308858
BLK,-0.15193681473189313,0.048110330636197546,0.18531523409793346,0.4491307221565785,0.18195897602368208,0.0034947095415892495,0.1882433978035895,0.3181079003823834,-0.19883486634320555,0.3051507470114029
BMY,0.08439762614180878,0.34676018080122817,-0.0170582993838319,0.5376508400775535,0.17539172337260514,0.19658411867096265,-0.07524454091528204,0.08326933432323085,-0.10459646763985248,0.26881269611734154
BRK-B,0.2159238307799998,-0.010620270178238573,0.15233609975918155,0.2500836764606441,0.25329276746232315,-0.10670106647009475,0.23048139969371267,0.19658156912986688,0.0600601483568052,0.12133355856285437
C,0.4004328972215183,-0.4777796345128192,0.39941294941607713,0.2589757123137307,0.056034464807067114,-0.014991605628177836,0.2093304237219038,0.23513190483197732,-0.30575725565514483,0.4563288710745568
CAT,0.5429373988211224,0.049559539065299134,0.012562661788469024,0.006296516297242868,0.07057548162376764,-0.23133621925580652,0.39834170856241663,0.5673288201477591,-0.13649365631503846,0.2191381588485374
CHTR,0.12717910021276857,0.45237537689975044,0.3133867518409382,0.5954799877741527,0.24120179381540635,0.13339755020587157,0.5254697942994884,0.1916961470205141,-0.15214057884060372,0.5431628633092359
CL,0.007378770378653343,0.1900843307122718,0.17086021178995286,0.2383276082848413,0.1023114188915507,0.0025087179233422093,0.04496581727225571,0.1747208031920038,-0.18769271986102815,0.18722572045226757
CMCSA,0.30847656124502676,0.11751120289887824,0.4599356686930555,0.33484077979501753,0.1495809586568989,0.02175661688319946,0.2462147606944438,0.17970262858170133,-0.12609023697300759,0.30065427988310306
COF,0.16013310213606585,0.04750603537383575,0.3182795470803515,0.2587021127700701,0.09631290708626042,-0.07549343130025199,0.27645442953868427,0.15872435463699291,-0.2297912190783625,0.3323484177863934
COP,0.32552418404068206,0.1394219503759452,0.08573775486424674,0.23018646358920553,0.049213933969152183,-0.290286689152747,0.1828062634669623,0.13042781435449372,0.18096926316660258,0.08609852781754279
COST,0.2226827458904482,0.17468862799751128,0.24950295950349313,0.17929948893599168,0.2058428378287943,0.18977690013544937,0.030146625681293414,0.22226350839376444,0.11400007340557233,0.38277253205845035
CRM,0.6615812834865046,-0.1914249666741547,0.5719122588275831,0.30075776846029845,0.1358877539733433,0.3280232448683958,-0.05725455516482375,0.38356611180489797,0.32903791887269274,0.21414985150599683
CSCO,-0.1493965901465765,-0.05217456882843267,0.10975771598573811,0.15061032793099877,0.2713727118582713,0.033454242016224246,0.183299369060749,0.27395103318008834,0.1735385970789745,0.1675605924439201
CVS,0.09249619118350981,0.19427175244046171,0.1801601845446308,0.3932086936522555,0.34146418765762093,0.05991409429756039,-0.15788313181832223,-0.05387187283037327,-0.044604091479396174,0.19038751284860347
CVX,0.20051760556477488,0.21450629872373675,0.027851269104441183,0.16377829469750751,-0.04970441984527786,-0.14203616843947497,0.35111745561815716,0.1092500354764757,-0.09248328038467457,0.1410447759899179
